TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Marbella;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);297;355;19,5
Municipio de Marbella;6.-TRÁFICO DE DROGAS (EU);64;73;14,1
Municipio de Marbella;7.-DAÑOS;699;1014;45,1
Municipio de Marbella;8.-HURTOS;3177;3942;24,1
Municipio de Mijas;1.-DELITOS Y FALTAS (EU);3892;3822;-1,8
Municipio de Mijas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;1;-75,0
Municipio de Mijas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);52;45;-13,5
Municipio de Mijas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);424;415;-2,1
Municipio de Mijas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);184;167;-9,2
Municipio de Mijas;6.-TRÁFICO DE DROGAS (EU);27;33;22,2
Municipio de Mijas;7.-DAÑOS;450;447;-0,7
Municipio de Mijas;8.-HURTOS;1158;1156;-0,2
Municipio de Vélez-Málaga;1.-DELITOS Y FALTAS (EU);2120;2169;2,3
Municipio de Vélez-Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Vélez-Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);22;36;63,6
Municipio de Vélez-Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);92;76;-17,4
Municipio de Vélez-Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);49;23;-53,1
Municipio de Vélez-Málaga;6.-TRÁFICO DE DROGAS (EU);41;32;-22,0
Municipio de Vélez-Málaga;7.-DAÑOS;273;235;-13,9
Municipio de Vélez-Málaga;8.-HURTOS;706;805;14,0
Municipio de Torremolinos;1.-DELITOS Y FALTAS (EU);3933;3854;-2,0
Municipio de Torremolinos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Torremolinos;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);79;81;2,5
Municipio de Torremolinos;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);97;110;13,4
Municipio de Torremolinos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);80;78;-2,5
Municipio de Torremolinos;6.-TRÁFICO DE DROGAS (EU);40;56;40,0
Municipio de Torremolinos;7.-DAÑOS;363;347;-4,4
Municipio de Torremolinos;8.-HURTOS;1601;1607;0,4
Provincia de Sevilla;1.-DELITOS Y FALTAS (EU);62379;60282;-3,4
